Tenant ID,School NAme,School Code,District,School Type,Location TYpe
58,RAJNAGAR HIGH SCHOOL,SCH822668,PATNA,,
58,G.P.HIGH SCHOOL  CHEMANA,SCH467108,PATNA,,
58,SWAMPATNA GIRLS HIGH SCHOOL,SCH979488,PATNA,,
58,BAUNSULI HIGH SCHOOL,SCH364975,PATNA,,
58,BISHEIPAT HIGH SCHOOL JAMUNAPASI,SCH445582,PATNA,,
58,A.B.C.D.R. UNITED JNANA MANDIR,SCH831377,PATNA,,
58,DUMURIA B.S. HIGH SCHOOL,SCH809137,PATNA,,
58,MURUSUAN HIGH SCHOOL,SCH593444,PATNA,,
58,P.HIGH SCHOOL KENDEIPASI,SCH935134,PATNA,,
58,"GOVT. GIRLS HIGH SCHOOL(SSD), CHILIDA",SCH929423,PATNA,,
58,G.N HIGH SCHOOL,SCH753722,PATNA,,
58,KHIREITANGIRI HIGH SCHOOL,SCH694932,PATNA,,
58,JANATAHIGH SCHOOL,SCH285237,PATNA,,
58,TANGARPADA HIGH SCHOOL,SCH903750,PATNA,,
58,D.B.HIGH SCHOOL TURUMUNGA,SCH615754,PATNA,,
58,M.P.HIGH SCHOOL BAIKALA,SCH680303,SAHARAPADA,,
58,DIGIPASI HIGH SCHOOL,SCH375370,SAHARAPADA,,
58,B.R.HIGH SCHOOL BILLA,SCH179262,SAHARAPADA,,
58,M.G.M. HIGH SCHOOL KHOJURIDIHA,SCH643465,SAHARAPADA,,
58,UDAYPUR HIGH SCHOOL,SCH621812,SAHARAPADA,,
58,GOJAPATHAR HIGH SCHOOL,SCH666341,SAHARAPADA,,
58,G.B. HIGH SCHOOL JAMUDA,SCH124606,SAHARAPADA,,
58,GOVT. GIRLS HIGH SCHOOL(SSD) RAIDIHA,SCH410932,SAHARAPADA,,
58,DRAUPADI HIGH SCHOOL BARBIL,SCH936122,SAHARAPADA,,
58,MACHHAGARH HIGH SCHOOL,SCH320251,SAHARAPADA,,
58,SAHARPADA HIGH SCHOOL,SCH480990,SAHARAPADA,,
58,TELKIO GIRLS HIGH SCHOOL,SCH121487,TELKOI,,
58,GOVT. HIGH SCHOOL PADANG,SCH820699,TELKOI,,
58,BENUAMUNDA HIGH SCHOOL,SCH535027,TELKOI,,
58,GOVT. HIGH SCHOOL(SSD) RAISUAN,SCH727564,TELKOI,,
58,S.J.HIGH SCHOOL GOLABANDH,SCH444631,TELKOI,,
58,R.K.HIGH SCHOOL DEULDIHA,SCH699231,TELKOI,,
58,SIRIGIDA HIGH SCHOOL,SCH302860,TELKOI,,
58,S.A.HIGH SCHOOL SARUALI,SCH716078,TELKOI,,
58,GOVT. GIRLS HIGH SCHOOL(SSD),SCH133067,TELKOI,,
58,RADHA KRISHNA HIGH SCHOOL,SCH525083,TELKOI,,
58,TELKOI HIGH SCHOOL,SCH329507,TELKOI,,
58,Rabindra Vidya Niketan,SCH703523,KENDUJHAR,,
58,SB schol,SCH900018,KENDUJHAR,,
58,Swami Saraswati school,SCH636454,KENDUJHAR,,
